Country,Pay,Sex
Arab States,"4,745",Female
Arab States,"21,667",Male
East Asia and the Pacific,"12,357",Female
East Asia and the Pacific,"18,711",Male
Europe and Central Asia,"13,162",Female
Europe and Central Asia,"25,834",Male
Latin America and the Caribbean,"10,667",Female
Latin America and the Caribbean,"18,486",Male
South Asia,"2,352",Female
South Asia,"10,426",Male
Sub-Saharan Africa,"2,970",Female
Sub-Saharan Africa,"4,429",Male
,,
,,
