Region,Pay,Sex
Arab States,"4,7",Female
Arab States,"21,6",Male
East Asia and the Pacific,"12,3",Female
East Asia and the Pacific,"18,7",Male
Europe and Central Asia,"13,1",Female
Europe and Central Asia,"25,8",Male
Latin America and the Caribbean,"10,6",Female
Latin America and the Caribbean,"18,4",Male
South Asia,"2,3",Female
South Asia,"10,4",Male
Sub-Saharan Africa,"2,9",Female
Sub-Saharan Africa,"4,4",Male
