Region,F_LabourForce,M_LabourForce
Arab States,19.3,69.4
East Asia and the Pacific,59.7,75.2
Europe and Central Asia,42.9,67
Latin America and the Caribbean,48.6,72.6
South Asia,21.5,71.5
Sub-Saharan Africa,62.1,72.2
